,sentence,subject_entity,object_entity
28,"이와 같은 사례의 예로는 올레 라셴코의 아이다르 우크라이나 국토 방위 대대가 있다. 8월, 친러시아 반군 사령관 이고리 스트렐코프의 <obj 수석 고문>인 <sub 이고리 두르즈>는 ""이런 비상사태에서, 여러 번 우리는 혼란을 막기 위해 총살형을 집행했다.",PER,POH
29,"이것은 <obj 교양> 있는 <sub 이혼>이다.""라고 말했다.",EVE,POH
30,이후 <sub 모스크바 공국> 등 <obj 몽골>에 세금을 바치던 연합체들이 나타나기 시작하였고 15세기 들어서야 모스크바 대공국 하에서 통합되었다.,ORG,ORG
31,선거가 열리기 몇달 전에 <sub 푸틴> <obj 대통령>은 미하일 카시야노프의 내각을 파면하고 미하일 프랏코프를 그 자리에 임명하였다.,PER,POH
32,이 기구는 <obj 회원국>이 어떤 <sub 비가입국>의 공격에 대응하여 상호 방어하는 것을 인정했기 때문에 집단 군사 동맹 체계로 운영되고 있다.,ORG,ORG
33,"다만 후진적인 사회 체제를 개혁하지 못하고 내부적, 고질적인 병폐로 인하여 결국 하부의 프롤레타리아층에서 <sub 러시아 혁명>이 일어났고, 이후 제국이 멸망하고 사회주의 국가인 <obj 소련>이 성립되었다.",EVE,ORG
34,"마침 2004년에 체코, 에스토니아, 라트비아, 리투아니아, 폴란드와 슬로바키아가 유럽 연합에 참여하였고, 2007년에는 <obj 루마니아>와 <sub 불가리아>까지 뒤를 이었다.",ORG,ORG
35,국영 우주로켓업체 유즈마쉬는 <obj 2015년> <sub 파산 위기>를 겪었다.,EVE,DAT
36,"초기 <obj NATO>의 조직은 상설기관으로 최고기관인 <sub 각료이사회>와 사무국, 그리고 그 아래의 전문·보좌 기관과 통합군사기구로 구성되었다.",ORG,ORG
37,"동년 5월 24일에 <sub 도네츠크 인민 공화국>과 함께 <obj 노보로시야 연방국>이라는 국가 연합을 결성하였으나, 2015년 5월 20일에 해체되었다.",ORG,ORG
38,"현지시각 2월 26일 오후 동안, 12대의 전차가 <obj 드네프르강>의 <sub 카호우카>를 돌파하여 미콜라이우를 향해 진격하기 시작했다.",ORG,ORG
39,"이 협정은 <sub 우크라이나>, 러시아, <obj OSCE>의 대표 3명으로 구성된 우크라이나 삼자 연락 그룹이 계획했다.",ORG,ORG
40,"위원 중 한명이자 학자였던 <sub 레본 테르페트로샨>은 석방 직후 반공주의 야당인 범아르메니아 국가 운동의 <obj 위원장>에 취임하였으며, 후에 그는 1989년부터 아르메니아의 완전한 독립에 대해 생각하게 되었다고 밝혔다.",PER,POH
41,"제19차 당대회의 넷째 날이자 마지막 날인 1988년 7월 1일, 고르바초프는 <obj 소련 인민대표대회>라 불리는 새로운 <sub 최고입법기관>을 창설하자는 막판 제안에 대표단을 지지를 받는 데 성공했다.",ORG,ORG
42,"이 외에도 <sub 예라리에프>, <obj 셰프케>, 포르트솁첸코, 쿨사리 마을을 공격하고 임시노동자를 수송하는 열차에 가연성 액체를 부어 불태우는 공격을 하였다.",ORG,ORG
43,"이를 통해 <obj 소련> 국민들은 해외가 소련 자국 내에 일어난 사건을 어떻게 바라보고 있는지 알게 되었으며, <sub 소련 정부>는 방송 검열이 사실상 불가능해졌다.",ORG,ORG
44,반면에 발트 3국은 북대서양 조약 기구(NATO)와 <sub 유럽 연합>(<obj EU>)에 가입하며 서구권과 긴밀한 유대 관계를 맺고 있다.,ORG,ORG
45,이는 <sub 옐친>이 소련 반대파의 <obj 수장>이 되는 계기가 되었으며 대중에게 반권위적인 이미지로 퍼지게 된다.,PER,POH
46,한편 <obj 키시너우> <sub 국가대의회>() 앞에서 열린 일련의 대규모 시위로 인민전선이 처음으로 대규모 성과를 이루었다.,ORG,ORG
47,"11월 26일엔 밀로슬라프 <sub 루바치비> <obj 추기경>이 기도와 금식의 날을 선포하였고, 우크라이나 서부에선 교황 요한 바오로 2세와 고르바초프의 회담 전날에 수천명이 종교 행사에 참여했다.",PER,POH
48,"대한제국 정부의 정통성을 계승한 <sub 대한민국> 정부 존중, 현재 유엔 체제 하의 <obj 북한> 정부의 독립성 인정, 북한이 핵 위협을 점진적으로 안정적으로 해소하는 노력을 기울이는 것을 지지, 일제 강점기 한국 민족의 국권 회복 운동 존중, 미•러 외교 관계 개선 및 한국전쟁의 과거 냉전사 종식 지지, 남북한이 서로 합의하는 평화 통합의 정치적 노력 지지, 통합 한국과 개혁적 러시아의 상업 경제, 정당 의회 외교, 문화, 생태 환경, 자원 등 방면의 교류 협력 증진 기대",ORG,ORG
49,10월 10일엔 <obj 이바노프란키브시크>에서 열린 <sub 예비선거 시위>에 3만명이 참여했다.,EVE,LOC
50,<obj 1989년 3월> <sub 인민대표회의 선거>에서 리투아니아 대표로 당선된 의석 42석 중 36명은 사유디스 독립파 후보자였다.,EVE,DAT
51,"또한, <sub 고르바초프>는 <obj 글라스노스트>의 확대에도 주안점을 두면서 언론 매체에 제한 없는 공개 토론을 열어야 한다고 주장했다.",PER,POH
52,3월 4일엔 <obj 키예프>에선 스탈린 치하 희생자들을 추모하고 소비에트의 사회와 관습을 정화하자는 운동의 '메모리얼 사회 모임'이 <sub 창설>되었다.,EVE,LOC
53,<obj 아제르바이잔> <sub 인민 전선>은 새로운 전술을 도입했다.,ORG,ORG
54,<sub 옐친>은 민주적이고 급진적인 최고 <obj 소비에트> 대의원의 지지를 얻었으며 정치 지형은 더욱 급변하였다.,PER,ORG
55,"새로 창설할 <sub 인민대표회의>의 세부 안건은 1988년 10월 2일 나왔으며, 새로운 <obj 입법부> 창설 절차에 들어갔다.",ORG,ORG
56,"3월 11일, 리투아니아 SSR에서 새로 꾸려진 <obj 최고회의 의장>(대통령)으로 사유디스의 지도자인 <sub 비타우타스 란즈베르기스>가 선출됨과 동시에 그가 리투아니아 국가 재건 법률을 선포하며 소련 내 소비에트 공화국 중에선 처음으로 소련을 탈퇴하고 독립국을 선언하였다.",PER,POH
57,"소련의 국방부 <obj 장관> <sub 드미트리 야조프>는 바쿠에서 무력을 사용한 것은 비공산계 야당이 아제르바이잔 정부를 사실상 '탈취'하러는 시도를 막고, (1990년 3월에 예정된) 자유 선거에서 이 '쿠데타 세력'들이 승리하는 걸 막고 공산정권을 유지시키기 위한 것이었다고 발표했다.",PER,POH
58,1989년 5월 중순부터 9월까진 우크라이나의 그리스 정교회 단식투쟁 시위대가 <obj 모스크바>의 <sub 아르바트 가>에 시위를 열어 교회의 곤경에 대해 알렸다.,ORG,ORG
59,54세의 <sub 고르바초프>는 당시 정치국 <obj 위원> 중 제일 어린 사람이었다.,PER,POH
60,"이후 <obj 4월 2일>과 9일 두차례 76개 선거구에서 <sub 재보궐선거>를 치뤘으며, 4월 20일, 5월 13일, 5월 20일 세차례에선 선출되지 않은 나머지 199개 의석에 대한 선거를 치렀다.",EVE,DAT
61,1920년대 <sub 레프 트로츠키> 이래로 이 정도로 <obj 중앙위원회> 앞에서 당 지도자를 직접적으로 언급한 적은 없었다.,PER,ORG
62,"1988년 2월 20일, 아제르바이잔 SSR에서 아르메니아인 다수 거주 구역인 <obj 나고르노카라바흐 자치주>의 수도 <sub 스테파나케르트>에서 시위가 7일 넘게 이어지자, 지역 소비에트는 아제르바이잔에서 독립하여 아르메니아 SSR에 합병한다는 안을 통과했다.",ORG,ORG
63,현재 러시아 정부의 적으로 간주되어 암살로써 죽음을 맞이한 보리스 넴초프의 사망에 대해서 <sub 푸틴> <obj 대통령>이 자기 부하를 시켜서 그를 죽음으로 내몰지 않았나 하는 비판이 일고 있다.,PER,POH
64,"9월 27일, 각료평의회 주석(총리)에 73세의 니콜라이 티호노프 대신 니콜라이 리즈코프가 취임했고 10월 14일엔 <obj 국가계획위원회장>에 니콜라이 바이바코프 대신 <sub 니콜라이 탈리신>이 취임했다.",PER,POH
65,<obj 1989년> <sub 혁명>과 소련의 붕괴는 냉전 종식의 신호탄이었다.,EVE,DAT
66,"<obj 10월 2일>, 인민전선은 공식적인 정치적 기반을 내세우며 이틀간의 <sub 총회>를 열었다.",EVE,DAT
67,<sub 리비우>에선 수천명이 <obj 성 게오르기오스 성당 앞>에 모여 감사 기도를 드렸다.,ORG,LOC
68,"이를 시작으로 1989년 말까지 바르샤바 조약 기구 가입국 5개국의 <sub 공산당> 정권이 붕괴되었으며, <obj 베를린 장벽>도 붕괴되었다.",ORG,LOC
69,<obj 아르메니아>: <sub 카라바흐 위원회> 석방.,ORG,ORG
70,"1990년 1월 11일부터 13일까지 고르바초프가 <obj 리투아니아>의 수도 <sub 빌뉴스>를 방문했을 무렵, 약 25만명에서 30만명에 달하는 사람들이 독립 시위를 열었다.",ORG,ORG
71,과거 두 번의 <obj 러시아> 대통령 재임(8년간) 뒤 <sub 드미트리 메드베데프> 대통령의 총리로 4년간을 지낸 뒤 또다시 2012년 러시아 대통령 선거에 출마하여 당선되었다.,PER,ORG
72,"2016년 3월 14일 <sub 블라디미르 푸틴> <obj 대통령>이 시리아 아랍공화국에서 러시아 군사를 위하여 세운 파견이 크게 이루어지고, 시리아 아랍공화국으로부터 러시아 연방군의 주요 부분의 철수에 명령을 내린 그의 발표 후에 시리아 아랍공화국에서 배치된 러시아 연방군들은 지속적으로 시리아 아랍공화국 정부의 후원에서 활동적으로 움직이고 있다.",PER,POH
73,"<obj 1985년 5월>, <sub 고르바초프>는 레닌그라드에서 개혁을 지지하고 수많은 알코올 의존증들에 대한 금주 캠패인에 대한 연설을 하였다.",PER,DAT
74,"1987년 6월 14일, 라트비아 리가의 자유기념탑에 5,000명이 모여 <obj 1941년> 스탈린의 <sub 라트비아인 강제 이주>에 항의하는 시위를 열고 헌화했다.",EVE,DAT
75,이 사건은 <sub 대규모 인종갈등>으로 번져 <obj 소련군>이 진압하기 전까지 18명이 사망하고 수백명이 부상을 입었다.,EVE,ORG
76,특히 7월 <obj 모스크바>에서 열린 <sub 세계교회총회 행사> 중 시위가 격렬했다.,EVE,LOC
77,"<obj 1990년 6월 12일>, 러시아 인민대표대회는 <sub 러시아>가 주권 국가임을 선언하였다.",ORG,DAT
78,"1987년 10월 27일 예정된 중앙위원회 본회의에서는 <obj 옐친>이 <sub 고르바초프>에게 보낸 사임서에 써져 있는 어떠한 문제도 해결하지 못했으며, 개혁의 속도가 너무 느리고 서기장의 행동에 대해 비판하며 리가쇼프를 비판하였다.",PER,PER
79,"<sub 소련>의 각 공화국들은 국가 주권을 선언하기 시작했으며, <obj 모스크바> 중앙정부와 ""법 투쟁""을 시작했다.",ORG,ORG
80,반군은 이들이 <sub 우크라이나>를 탈출해 <obj 러시아>로 가도록 허락했다.,ORG,ORG
81,"같은 날 지역 <sub 가스 공급 업체>의 발표에 따르면, 루한스크 주의 약 10,000 가구 이상이 가스관 손상으로 <obj 가스>를 받지 못한다고 말했다.",ORG,POH
82,"이후, <sub 카디로프>는 체첸 지역에서 적극적인 <obj 자원병> 모집 캠패인을 지원하고 있으며, 그로즈니, 아치호이마르탄, 즈나멘스코예, 구데르메스 등에서 채용 센터가 존재한다고 밝혔다.",PER,PER
83,"<sub 친러시아군>은 우크라이나 <obj 공군>이 했다고 주장했지만, 우크라이나 정부는 이 공격을 하지 않았다고 주장했다.",ORG,ORG
84,"한편, 계속되는 군사적 패배로 인해 도네츠크 인민 공화국의 <obj 사령관> <sub 이고리 스트렐코프>는 러시아의 군사 개입을 촉구했고, 도네츠크 주의 지역 주민들 사이 징집의 어려움과 반군의 전투 경험 부족으로 인해 패배하고 있다고 말했다.",PER,POH
85,"우크라이나 외무부에 따르면, 러시아인 병사의 존재는 러시아가 ""있는 그대로 우크라이나를 침공한 것""이며, ""<sub 러시아>가 <obj 우크라이나>로 테러리즘을 수출하고 있다.""라고 주장했다.",ORG,ORG
86,"서방측에서는 이 새로운 반정부군의 공세는 <sub 러시아 연방>의 <obj 전차>, 포, 보병들이 러시아 영토에서 국경을 넘어 우크라이나 영토로 진격하는, 일종의 ""비밀스런 침공""과 같다고 말했다.",ORG,POH
87,"<sub 반군>에게 하룻동안 도시에서 포위당한 친우크라이나 자원군 <obj 돈바스 대대>는 ""도시를 포기""한 우크라이나 정부와 우크라이나군을 비판했다.",ORG,ORG
88,"그의 성명에서는 ""기꺼이 <obj 76,000명의 체첸 군인>을 <sub 우크라이나>로 보내기를 원하지만"", 도네츠크가 아니라 키예프로 갈 것이라고 말했다.",ORG,PER
89,"1차 도네츠크 국제공항 전투 이후, 지역 정부는 일부 무장 세력 병사가 <obj 체첸>의 <sub 그로즈니>와 구데르메스에서 왔다고 밝혔다.",ORG,ORG
90,<sub 러시아 국방부>는 이러한 <obj 호송대>가 있었음을 부인했다.,ORG,ORG
91,"<sub 페트로 포로셴코> <obj 대통령>은 도네츠크 주와 루한시크 주에 ""특별지위""를 부여하며, 이 지역에서의 러시아어 사용을 법적으로 보호받을 것이라고 말했다.",EVE,POH
92,"로이터지는 도네츠크 도시에서 러시아 소속 전차 3대를 발견했다고 전했고, <obj 미국 국무부>의 <sub 국무부 정보조사국>에서도 러시아가 실제로 우크라이나 친러시아군에게 중무기와 함께 전차를 보냈다고 발표했다.",ORG,ORG
93,"또한, <sub 우크라이나 정부군>이 이 <obj 장갑차> 대열의 일부를 파괴했으며 전투가 진행 중이라고 덧붙였다.",ORG,POH
94,"크라마토르스크와 슬로비얀스크에서 포격이 들렸으며, <sub 친러시아군>이 점령한 3대 국경 대도시 중 하나인 <obj 돌쟌스크>를 점령했다.",ORG,ORG
95,9월 6일에는 러시아의 대통령 블라디미르 푸틴과 우크라이나의 <obj 대통령>인 <sub 페트로 포로셴코>가 만나 회담을 가졌다.,PER,POH
96,"<sub 우크라이나> 국가 안보 및 국방위원회 <obj 대변인>은 우크라이나로 들어오는 장갑차 대열이 ""러시아가 돈바스 전투가들을 구실로 하여 새로운 지역에서 군사 작전을 시작할려고 한다""라고 말했다.",ORG,PER
97,"2015년 5월 12일, 러시아의 원외야당 인민자유당(RPR-PARNAS)은 보리스 넴초프가 작성한 러시아의 우크라이나 사태 개입 관련 보고서를 전격 공개했고, 전체 64페이지 분량의 이 보고서에는 우크라이나 동부 돈바스 지역에서의 <sub 우크라이나 정부군>과 <obj 친(親)러시아 분리주의 반군> 간 전투에 러시아군이 친러시아 분리주의 반군을 도와 참여한 증거와 피해 규모 등이 들어가 있다.",ORG,ORG
98,"한편, <obj 민스크>에서는 <sub 반정부군>, 러시아, 우크라이나, OSCE 사이 회담이 개최했다.",ORG,LOC
99,"이 병사의 말에 따르면, 일부 <sub 카자크 부대>를 포함한 러시아의 여러 민병대가 <obj 친러시아군>을 지지하고 있다고 말했다.",ORG,ORG
100,"5월 25일, SBU는 루한스크에서 <sub 러시아> <obj 카자크인> 13명을 체포했다.",ORG,PER
101,전투 중에 <sub 반군>의 <obj 차량 폭탄>으로 인해 군인 3명이 사망했다.,ORG,POH
102,이는 8월 25일 <sub 우크라이나> 보안원이 <obj 러시아> 낙하산병 부대 일부를 항복시키고 포로로 만들었을 때 절정에 달했다.,ORG,ORG
103,"아르센 아바코프의 <obj 고문>인 <sub 안톤 헤라셴코>는 키예프의 브리핑에서 이 전차는 이전에 크림 반도의 우크라이나 정부군이 소유한 것이나, 우크라이나 본토로 넘어가기 전에 러시아군이 습격하여 노획한 것이라고 말했다.",PER,POH
104,"또한, <sub 정부군>은 <obj 루한스크 도시> 가장자리까지 진입했다.",ORG,LOC
105,"같은 날, 도네츠크 인민 공화국의 <obj 총리>인 <sub 알렉산드르 보로다이>는 휴전 협상을 진행하고 싶다고 말했다.",PER,POH
106,<sub 지역 자원군>과 <obj 러시아인 자원군>을 포함해 약 100여명의 병사가 있다.,ORG,ORG
107,"그날, <sub 러시아>의 공식 문양 판이 붙어진 <obj 장갑차> 2대와 기타 차량 호송대가 이즈바르네 근처의 우크라이나 국경을 넘어갔다.",ORG,POH
108,"그러나, 도네츠크 인민 공화국의 <obj 총리>인 <sub 알렉산드르 보로다이>는 이 보고서를 부인하고 이를 거짓말이라고 말했다.",PER,POH
109,"뉴욕 타임스에 따르면 이 <sub 정전협정>은 6월달에 <obj 페트로 포로셴코>가 제안했으나 실패했던 ""15개 평화 계획""과 거의 똑같은 내용이라고 말했다.",EVE,PER
110,"드제르쟌스크, 솔레다르, 루비지네 <obj 도시>를 <sub 정부군>이 탈환했다.",ORG,POH
111,"한편, <obj 도네츠크 서부> 교외 지역의 <sub 마린카>에서 친러시아군 지역에 로켓이 떨어져 4명이 사망했다.",ORG,ORG
112,"그는 <obj 2014년> <sub 크림 위기> 기간 동안 군대를 만들었고, 이 군대의 3분의 2는 우크라이나 시민이었다.",EVE,DAT
113,도네츠크 <sub 인민공화국군>은 4km 앞까지 진군했으나 그날 밤 <obj 우크라이나군>과 아조프 대대의 반격으로 다시 후퇴하였다.,ORG,ORG
114,7월 13일에서는 <obj 러시아 로스토프주>의 <sub 러시아 도네츠크>에서 포격전이 일어났다.,ORG,ORG
115,정부군이 마리우폴에서 새로운 공세를 시작한 <obj 6월 13일 아침>부터 <sub 큰 전투>가 일어난 것으로 추측된다.,EVE,DAT
116,"BBC와의 연결에 의하면 ""<sub 아조프 대대>에서 <obj 외국인>은 소수이며 자원군으로 와서 봉급을 받지 않는다.""라고 말했다.",ORG,PER
117,"또한, <sub 정부군>은 <obj 브루시브카>와 스타리카라반 마을도 탈환했다.",ORG,LOC
118,"7월 15일, <sub 친러시아군>이 장악한 스니즈네 도시에 <obj 로켓>이 발사되어 명중하여 11명이 사망하고 절대다수가 집을 잃었다.",ORG,POH
119,이 포격 기간 동안 도네츠크 인민 공화국의 <obj 최고 사령관>이었던 <sub 이고르 기르킨>은 스스로 사임했다.,PER,POH
120,"러시아, 몰도바, 벨라루스, 아르메니아, 아제르바이잔, <obj 우즈베키스탄>, <sub 카자흐스탄>, 키르기스스탄, 타지키스탄이 공식 회원국으로 참여하고 있으며 투르크메니스탄, 몽골, 아프가니스탄은 비공식 참관국으로 참여하고 있다.",ORG,ORG
121,"나중에 <sub 투르치노프> <obj 대통령>은 성명을 발표하면서 슬로비얀스크에서 벌어지는 인질 위기 등으로 인해 ""대테러 작전""이 재개될 것이라고 말했다.",PER,POH
122,이들은 <obj 군대>가 기지 밖으로 떠나지 말라는 맹세를 하라는 <sub 시위대>에게 막혀버렸다.,ORG,ORG
123,<sub 레오니드 크라우추크> 우크라이나 3국 접촉단체(TCG) <obj 대표>는 민스크 협정 위반이라고 비난했다.,PER,POH
124,무장세력은 지역 경찰서 공격을 시작하면서 <sub 우크라이나 정부>는 <obj 선봉대>를 마리우폴로 보냈다.,ORG,ORG
125,"<obj 2022년 2월 23일>, 우크라이나는 <sub 사이버 공격>으로 인터넷이 마비되었다.",EVE,DAT
126,"리아 노보스티에서는 <sub 국가방위군> 병사 80명이 <obj 반군>에게 항복했다고 말했지만, 국가방위군 측에서는 공격한 반군과 국가방위군 모두 사상자가 있었다",ORG,ORG
127,한편 2월 27일 <sub 야누코비치>는 <obj 러시아>로 피신하여 자신이 합법적인 대통령이라는 입장을 보였다.,PER,LOC
128,우크라이나군은 나중에 <obj 루한스크> 지역에서 약 150회의 <sub 공습>을 했다고 인정했다.,EVE,LOC
129,"분쟁 이후 2014년 3월 러시아가 크림반도를 합병했고, 친러 성향의 준국가인 <sub 도네츠크 인민공화국>과 <obj 루한스크 인민공화국>이 수립되면서 돈바스 전쟁이 발발했다.",ORG,ORG
130,"우크라이나 정부군이 비행장을 탈환한 이후, 탈환 작전을 지시한 <obj 지휘관> <sub 바실리 쿠르토프>는 우크라이나군이 지역 주민들에게 발포한 이유를 말하라는 적대적인 군중들에게 둘러싸였다.",PER,POH
131,"2014년 2월 19일 밤, 우크라이나 철도청은 리비우-키예프로 이어지는 <obj 사우스웨스턴 철도>의 <sub 그라우스 역>부터 코로스텐 역까지 전 구간의 운행을 중지한다고 통보했다.",ORG,ORG
132,"분리주의자들은 도시 내의 경찰서 무기고를 점령하고 총기 <obj 수백정을> 노획했으며, 이는 도시를 탈환하기 위해 ""반테러 작전""을 준비하고 있는 <sub 우크라이나 정부>를 자극하게 되었다.",ORG,ORG
133,"같은 날, 친러시아군이 친정부 민병대인 ""<sub 우크라이나 대대>""가 점령한 토레즈의 <obj 지방 정부> 건물을 공격하려다 친러시아군 2명이 사망했다고 밝혔다.",ORG,ORG
134,영국의 <obj 저널리스트> <sub 에드워드 루카스>는 이에 대해 수정주의자라고 서술했다.,PER,POH
135,"마찬가지로, 루한스크 인민 공화국의 <obj 대통령>인 <sub 발레리 볼로토프>는 5월 22일에 계엄령을 선포했다.",PER,POH
136,이에 대한 <obj 지지>는 <sub 국가>별로 엇갈렸다.,ORG,POH
137,"이에도 불구하고, BBC 방송은 우크라이나군과 <sub 마리우폴> <obj 시장>이 이른 아침에 건물을 점령했지만 그날 오후에 건물을 포기했다고 말했다.",PER,POH
138,"우크라이나 내무부 <obj 장관>인 <sub 아르센 아바코프>는 ""우리 정보에 따르면, 아침에 스니즈네에서 장갑차, 대포, AMV, 전차 및 기타 중장비가 러시아에서 우크라이나 국경을 넘은 것이 확인되었다""라고 말했다.",PER,POH
139,"노드스트림 1은 <obj 가스프롬>의 자회사 <sub 노드스트림 AG>가 소유하고 운영하고, 노드스트림 2는 가스프롬이 100% 소유하는 노드스트림 2 AG가 운영하고 소유할 계획이다.",ORG,ORG
140,"급기야 도네츠크주 <obj 도네츠크>의 <sub 친러 시위대>는 4월 7일 도네츠크주를 도네츠크 인민 공화국으로 독립을 선언했으며, 루한스크주의 루한스크도 루한스크 인민 공화국으로 독립을 선포했다.",ORG,ORG
141,"<sub 도네츠크 인민공화국>은 <obj 우크라이나 도네츠크주> 전체를 지배하는 국가라고 주장하고 있으나, 실제로는 일부 지역만 지배하고 있으며, 약 200만 명의 주민들이 거주하는 것으로 추정된다.",ORG,ORG
142,"2014년 2월 24일, 지하철은 <sub 마이단 네잘레즈노스티 역>(<obj 독립광장역>)을 포함한 전 구간이 재개되었다.",ORG,ORG
143,"우크라이나 보안원의 <obj 원장> <sub 발레틴 날리바이셴코>는 8월 22일 ""러시아가 우크라이나를 향해 직접 침공하기 시작했다""고 말했다.",PER,POH
144,"4월 14일, <sub 친러시아 시위대>가 <obj 마리우폴>, 슬로비얀스크, 크라마토르스크, 예나키예베, 마키이우카, 드루주키우카, 즈다니우카 등의 많은 주청사를 장악했다.",ORG,LOC
145,전투 도중 <obj 병력 수송 장갑차> 1대가 <sub 친러시아 시위대>에게 노획되었다고 말했다.,ORG,POH
